Address,Neighborhood,Elementary School,Middle School,High School,Latitude,Longitude,Dollar Value,SqFt,Image_Path,GlobalID *
"4506 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70668,-96.7612,155000,1224,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\3227,{26CACD77-D61B-4EE7-8A4B-4D11531BFA58}
"4510 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70647,-96.76097,165340,1428,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\3401,{F6B2773A-DB7F-4921-9A69-1A238B388B0D}
"4512 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70623,-96.76086,179110,1140,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\3500,{F1C759A8-DBF1-4053-9239-64D585B3B162}
"4516 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70597,-96.76093,205900,1315,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\3502,{A48BFE55-1C57-4217-9742-843142AC3E55}
"4519 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.7058,-96.76166,171000,1100,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4506,{2462A045-B39F-470B-9899-3AEF2417458F}
"4520 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70575,-96.76084,192110,1401,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4510,{890A7B8A-84BC-4FD2-A6C4-4A95616F674A}
"4523 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70554,-96.76153,154000,1397,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4512,{3D111BA1-24C0-4A15-9D47-7D245F5208D4}
"4527 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70529,-96.76143,207900,1518,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4516,{9975A74A-773F-4655-8C05-3EC389FB6C77}
"4530 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70537,-96.76068,146500,1183,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4519,{27F212A8-5372-4DC7-B9D1-462F7902DE11}
"4531 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70505,-96.76132,180800,1221,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4520,{0C80529D-0744-4956-9B28-3803C8ADFD11}
"4533 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70481,-96.76122,253700,2664,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4523,{EB589CF3-9867-4CD9-8A7B-F59BAAF7D9E0}
"4534 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70518,-96.76039,179800,1126,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4527,{A536B845-33BD-4B58-87A4-3A35069682DA}
"4535 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70455,-96.76114,205300,1911,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4530,{6F0FD513-BC1D-4B72-82CC-01CC7A8F8621}
"4612 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70431,-96.76009,175300,840,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4531,{9A4E3C10-069A-41D4-9D33-3118477EDF94}
"4615 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.7042,-96.7611,206000,1622,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4533,{240889DB-0FCD-4EBC-9F34-0B0677190CDF}
"4618 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70398,-96.75996,169000,1092,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4534,{83D0ABBA-0F87-4682-A29C-61BA64BBDE20}
"4622 Hedgdon Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.7036,-96.75997,248500,1835,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4534,{03654D0F-AC17-4BB3-9015-3A96DD237844}
"3401 Fifty-First St, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70365,-96.76388,138100,1014,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4535,{C6932161-725F-400C-BD8A-CFE5CBB9F3B3}
"3500 Fifty-First St, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70372,-96.76161,277300,2359,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4538,{C08DD216-0658-4845-BF0B-048176F97B07}
"4534 Humphrey Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70488,-96.76204,124800,899,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4612,{A25973BB-D1A1-41F3-8E7C-FF5AB6E02235}
"4538 Humphrey Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70459,-96.76215,145600,932,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4615,{210198F4-D4D2-4BE7-AF4B-8ABD529BFADA}
"3227 Mallory Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.70727,-96.7621,134600,1036,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4618,{5DBF6811-7ABC-4C5C-950F-95121D9B089D}
"3502 Mallory Dr, Dallas, TX 75216",Cedar Crest,Pease Elementary,Zumwalt Middle,Roosevelt High,32.7073,-96.7584,221000,1962,C:\Users\jessi\Desktop\Dallas Walkability\dallas project images GIS-selected\4622,{6F9C1157-3D63-404C-8BBE-C8D130346E80}
